galaxy,psp_bic,lcdm_bic,diff
WALLABY_J103655-265412,881047.2003205515,884487.1340040405,-3439.9336834889837
WALLABY_J103702-273359,81715.77363752271,82129.97391651808,-414.20027899536944
WALLABY_J103725-251916,73100.27939473565,77735.82875010546,-4635.549355369803
WALLABY_J103818-285307,170433.07877074124,172063.93317000958,-1630.8543992683408
WALLABY_J103915-301757,105257.4762883336,107261.63746728773,-2004.1611789541348
WALLABY_J103918-265030,200825.4592604599,201772.65356452324,-947.1943040633341
WALLABY_J103922-293505,285268.7344096904,286848.6188038891,-1579.884394198656
WALLABY_J104000-292445,509417.9471605667,512080.4064634651,-2662.45930289838
WALLABY_J104004-301606,369358.8262589833,370960.4990593872,-1601.6728004039032
WALLABY_J104016-274630,120231.70757481082,122215.79868551917,-1984.091110708352
WALLABY_J104059-270456,104257.20725220446,105415.74089839526,-1158.533646190801
WALLABY_J104309-300301,722867.330062486,727715.1675119341,-4847.837449448067
WALLABY_J104311-261500,137182.3447304974,139472.5704830832,-2290.2257525858004
WALLABY_J104905-292232,516205.29219179234,519675.0991024497,-3469.806910657382
WALLABY_J122708+055255,4466439.913895839,4470173.261824426,-3733.3479285873473
WALLABY_J122710+071549,2918425.9426860283,2922720.4461354786,-4294.503449450247
WALLABY_J122726+061551,746151.8696092628,747850.6131121,-1698.7435028372565
WALLABY_J122733+061359,146108.8057636153,149147.65108240544,-3038.845318790147
WALLABY_J123026+041450,288429.75373846473,289550.4226702798,-1120.6689318150748
WALLABY_J123138+035620,1303248.3400444922,1315079.7807382331,-11831.440693740966
WALLABY_J123228+002315,2287772.270669325,2302492.0005790438,-14719.729909718968
WALLABY_J123427+021108,458783.64057288284,467063.07797830703,-8279.437405424193
WALLABY_J123554-015112,133882.45645360326,136171.28118231203,-2288.8247287087725
WALLABY_J123555-025405,46555.64955673637,47148.64248621861,-592.9929294822432
WALLABY_J123630+001315,685655.94672994,690397.8318883713,-4741.885158431251
WALLABY_J123703+065533,1827586.529366241,1831661.576459254,-4075.047093012836
WALLABY_J123803-021549,415379.54480215476,416084.41962823155,-704.8748260767898
WALLABY_J123805-000137,210717.3400549707,213666.90714665764,-2949.567091686942
WALLABY_J123911+004305,209299.8897108123,212810.66878396075,-3510.779073148442
WALLABY_J123917-003149,2649737.4305682178,2703666.819048917,-53929.388480699155
WALLABY_J123949+014016,4790892.385306515,4793550.537871764,-2658.152565249242
WALLABY_J123954-004804,809903.0071208924,813984.4138179284,-4081.406697036
WALLABY_J123955-000822,1155415.0368403199,1159414.9205800449,-3999.883739724988
WALLABY_J124111+012435,1966942.131391634,1971755.7291143662,-4813.597722732229
WALLABY_J124111-013526,423535.72723116877,426927.80038072064,-3392.0731495518703
WALLABY_J124231+035729,3318735.0450251973,3319674.3339483915,-939.2889231941663
WALLABY_J124232-012111,3258320.8025036277,3271284.7208733233,-12963.918369695544
WALLABY_J124240+012047,237523.52628251477,241419.99704114127,-3896.4707586264994
WALLABY_J124257-011345,301744.0585393393,307542.22931003664,-5798.170770697354
WALLABY_J124317-003841,347109.14146299625,348335.96771371603,-1226.8262507197796
WALLABY_J124350-003344,453974.832695203,460000.0531841768,-6025.220488973777
WALLABY_J124428+002815,1949273.070240089,1952158.6795671738,-2885.6093270848505
WALLABY_J124428-030017,50513.501398754495,51467.348015118616,-953.8466163641206
WALLABY_J124433-021916,3339954.1697849836,3354180.57096288,-14226.401177896187
WALLABY_J124508-002747,456976.8027725291,463740.21263282653,-6763.409860297455
WALLABY_J124519-004538,824872.6404219905,839100.3784594709,-14227.73803748039
WALLABY_J124645+055723,4983021.746305008,4987290.749901777,-4269.0035967687145
WALLABY_J124753-011107,139512.7652183667,142945.53957579986,-3432.774357433169
WALLABY_J124947+035042,9157959.310332928,9161121.110880977,-3161.80054804869
WALLABY_J124950+025100,2104561.4699849966,2106891.0440431745,-2329.574058177881
WALLABY_J125451+023900,3554555.7440452613,3556655.412945258,-2099.668899996672
